"root","x","Barrier","Kr","Kx","kAQP","perimeter","Kr2","radius","conductance"
"root1",30,"M3",5.01854268152804e-05,5.3502576248052,9e-04,0.263178350723938,5.80849847399079e-08,0.418861354324872,1.52867104856741e-08
"root1",30,"M1",7.91669835917405e-05,5.3502576248052,0.001,0.263178350723938,9.16284532311811e-08,0.418861354324872,2.41146252007677e-08
"root1",30,"M2",5.25885353437409e-05,5.3502576248052,0.001,0.263178350723938,6.0866360351552e-08,0.418861354324872,1.60187083318903e-08
"root1",30,"M3",5.14315341537668e-05,5.3502576248052,0.001,0.263178350723938,5.95272386038968e-08,0.418861354324872,1.56662804789239e-08
"root1",6,"M1",4.99632405541924e-05,0.0605266878097369,1e-04,0.108187678425972,5.78278247155005e-08,0.172186038031298,6.25625810439404e-09
"root1",6,"M2",3.30437056949014e-05,0.0605266878097369,1e-04,0.108187678425972,3.82450297394692e-08,0.172186038031298,4.13764097884543e-09
"root1",6,"M3",2.96028627601681e-05,0.0605266878097369,1e-04,0.108187678425972,3.42625726390834e-08,0.172186038031298,3.70678819072367e-09
"root1",6,"M1",6.20882245125396e-05,0.0605266878097369,2e-04,0.108187678425972,7.18613709635875e-08,0.172186038031298,7.77451489305809e-09
"root1",6,"M2",3.6125105138432e-05,0.0605266878097369,2e-04,0.108187678425972,4.18114642805926e-08,0.172186038031298,4.52348525210777e-09
"root1",6,"M3",3.3331350319995e-05,0.0605266878097369,2e-04,0.108187678425972,3.85779517592535e-08,0.172186038031298,4.17365903926278e-09
"root1",6,"M1",7.14614004358768e-05,0.0605266878097369,3e-04,0.108187678425972,8.27099542081907e-08,0.172186038031298,8.94819792850261e-09
"root1",6,"M2",3.77938120840969e-05,0.0605266878097369,3e-04,0.108187678425972,4.37428380602973e-08,0.172186038031298,4.73243609750682e-09
"root1",6,"M3",3.54489016428427e-05,0.0605266878097369,3e-04,0.108187678425972,4.10288213458828e-08,0.172186038031298,4.43881292996502e-09
"root1",6,"M1",7.93902749880878e-05,0.0605266878097369,4e-04,0.108187678425972,9.18868923473238e-08,0.172186038031298,9.94102956083418e-09
"root1",6,"M2",3.88986607654814e-05,0.0605266878097369,4e-04,0.108187678425972,4.50215981081961e-08,0.172186038031298,4.87078217835286e-09
"root1",6,"M3",3.68809720165727e-05,0.0605266878097369,4e-04,0.108187678425972,4.26863102043665e-08,0.172186038031298,4.61813280158130e-09
"root1",6,"M1",8.6398932543455e-05,0.0605266878097369,5e-04,0.108187678425972,9.99987645178877e-08,0.172186038031298,1.08186341786557e-08
"root1",6,"M2",3.9713812750543e-05,0.0605266878097369,5e-04,0.108187678425972,4.59650610538692e-08,0.172186038031298,4.97285324412617e-09
"root1",6,"M3",3.7946114572069e-05,0.0605266878097369,5e-04,0.108187678425972,4.39191140880428e-08,0.172186038031298,4.75150699171075e-09
"root1",6,"M1",9.27619360023564e-05,0.0605266878097369,6e-04,0.108187678425972,1.07363351854579e-07,0.172186038031298,1.16153917851777e-08
"root1",6,"M2",4.0357193068794e-05,0.0605266878097369,6e-04,0.108187678425972,4.6709714199993e-08,0.172186038031298,5.05341553923791e-09
"root1",6,"M3",3.87873106558462e-05,0.0605266878097369,6e-04,0.108187678425972,4.48927206664887e-08,0.172186038031298,4.85683922713306e-09
"root1",6,"M1",9.86447192399059e-05,0.0605266878097369,7e-04,0.108187678425972,1.14172128749891e-07,0.172186038031298,1.23520175504019e-08
"root1",6,"M2",4.0888590598085e-05,0.0605266878097369,7e-04,0.108187678425972,4.73247576366725e-08,0.172186038031298,5.11995566078338e-09
"root1",6,"M3",3.94794613359898e-05,0.0605266878097369,7e-04,0.108187678425972,4.56938209907289e-08,0.172186038031298,4.94350841139891e-09
"root1",6,"M1",0.000104155829083367,0.0605266878097369,8e-04,0.108187678425972,1.20550728105749e-07,0.172186038031298,1.30421034063215e-08
"root1",6,"M2",4.13418371378277e-05,0.0605266878097369,8e-04,0.108187678425972,4.78493485391524e-08,0.172186038031298,5.17670993264608e-09
"root1",6,"M3",4.00660824228015e-05,0.0605266878097369,8e-04,0.108187678425972,4.63727805819462e-08,0.172186038031298,5.01696347331775e-09
"root1",6,"M1",0.000109370695731928,0.0605266878097369,9e-04,0.108187678425972,1.26586453393435e-07,0.172186038031298,1.36950945128133e-08
"root1",6,"M2",4.17376645434016e-05,0.0605266878097369,9e-04,0.108187678425972,4.83074821104185e-08,0.172186038031298,5.22627434013035e-09
"root1",6,"M3",4.05744237628126e-05,0.0605266878097369,9e-04,0.108187678425972,4.69611386143664e-08,0.172186038031298,5.08061656292857e-09
"root1",6,"M1",0.00011434396362797,0.0605266878097369,0.001,0.108187678425972,1.32342550495336e-07,0.172186038031298,1.43178332950623e-08
"root1",6,"M2",4.20895761805307e-05,0.0605266878097369,0.001,0.108187678425972,4.87147872459846e-08,0.172186038031298,5.27033973715822e-09
"root1",6,"M3",4.10225529968394e-05,0.0605266878097369,0.001,0.108187678425972,4.74798067093049e-08,0.172186038031298,5.13673005999358e-09
