"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","RSA_id"
119,126,3,0.3713,-0.6129,-0.7739,0.4426,-0.7754,-0.8661,0.0704,0.199976948671591,0.4314,0.3922,0.1961,12.5654,2,"Tomato_60_5"
122,127,4,0.2716,-0.1501,-0.8642,0.4238,-0.1926,-0.9868,0.0485,0.200004624946525,0.4314,0.3922,0.1961,12.6043,2,"Tomato_60_5"
8,128,5,-0.0118,-0.0169,-0.8904,-0.178,-0.1021,-0.9618,0.063,0.199948593393402,0.4314,0.3922,0.1961,12.6295,2,"Tomato_60_5"
125,129,2,-0.858,0.9479,-1.1245,-0.9224,1.0522,-1.2826,0.0724,0.200053642806123,0.4314,0.3922,0.1961,12.6568,2,"Tomato_60_5"
124,130,1,1.5792,-0.7463,-0.9356,1.6512,-0.8385,-1.0978,0.0526,0.199984199375851,0.4314,0.3922,0.1961,12.6583,2,"Tomato_60_5"
126,131,3,0.4426,-0.7754,-0.8661,0.5176,-0.9106,-0.993,0.0704,0.200019124085673,0.4314,0.3922,0.1961,12.675,2,"Tomato_60_5"
101,132,0,0.0079,0.39,-13.2628,-0.0077,0.3977,-13.4524,0.068,0.190396454798928,0.4314,0.3922,0.1961,12.6964,1,"Tomato_60_5"
127,133,4,0.4238,-0.1926,-0.9868,0.5769,-0.2371,-1.1075,0.0485,0.199970872879027,0.4314,0.3922,0.1961,12.7222,2,"Tomato_60_5"
128,134,5,-0.178,-0.1021,-0.9618,-0.3556,-0.1519,-1.0392,0.063,0.200031397535487,0.4314,0.3922,0.1961,12.7281,2,"Tomato_60_5"
129,135,2,-0.9224,1.0522,-1.2826,-1.0091,1.1753,-1.4142,0.0724,0.199972648129688,0.4314,0.3922,0.1961,12.757,2,"Tomato_60_5"
130,136,1,1.6512,-0.8385,-1.0978,1.7224,-0.9308,-1.2604,0.0526,0.200068713196241,0.4314,0.3922,0.1961,12.7607,2,"Tomato_60_5"
131,137,3,0.5176,-0.9106,-0.993,0.5938,-1.0413,-1.1238,0.0704,0.199993924907733,0.4314,0.3922,0.1961,12.7853,2,"Tomato_60_5"
